Item;Data OC;Decis Compras;texto OC;texto OC1;texto OC2;texto OC3;texto OC4
3CIEU1200DCHFO;15/10/2026;1,0;ped - 185169 | it - 1SLESTA632171E;;;;
3DTLIN700514PR;05/10/2026;1,0;ped - 185169 | it - 1AMCOZI632171D;;;;
3MONONEVD11;14/10/2026;1,0;ped - 203357 | it - 1TPRDMO0011NCP;;;;
3MARIMPDS42AN;14/10/2026;1,0;ped - 202678 | it - 1TPDSMM0000114;;;;
3MARTRADS35AN;14/10/2026;1,0;ped - 202825 | it - 1TPDSMM0000110;;;;
3MTPARGUAT80;14/10/2026;1,0;ped - 203251 | it - 1TPBARM0000024;;;;
3BORMC50NTFR;20/10/2026;6,0;ped - 0 | it - 1ALMC500000097;;;;
3CROPORCETRI;14/10/2026;6,0;ped - 0 | it - 1ALTI500000003;;;;
