Item;Data OC;Decis Compras;texto OC;texto OC1;texto OC2;texto OC3;texto OC4
3MONONEVD11;13/10/2026;1,0;ped - 203357 | it - 1TPRDMO0011NCP;;;;
3ARLIXCUBE40FR;02/10/2026;1,0;ped - 185169 | it - 1AMCOZI632171D;;;;
3CIEU1200DCHFO;13/10/2026;1,0;ped - 185169 | it - 1SLESTA632171E;;;;
3CIEU1200DCHFO;13/10/2026;1,0;ped - 203290 | it - 1AMCOZI882879I;;;;
3DTLIN700514PR;02/10/2026;1,0;ped - 185169 | it - 1AMCOZI632171D;;;;
3KITPCEZD3P;13/10/2026;1,0;ped - 204182 | it - 1KITFER185360;;;;
3KTFEMATOUWCPR;13/10/2026;1,0;ped - 204113 | it - 1KITFER241860;;;;
3KTFEMATOUWCPR;13/10/2026;1,0;ped - 186420 | it - 1SLESTA931570Q;;;;
3PERUNO6BG215B;13/10/2026;6,0;ped - 187170 | it - 1AMBANO553969B;;;;
3PUXRADIO16DO;06/11/2026;6,0;ped - 203736 | it - 1QUSOLT792832H;;;;
3ROSQUADTRANPR;06/11/2026;1,0;ped - 204113 | it - 1KITFER241860;;;;
3MARORIODS35;13/10/2026;1,0;ped - 201850 | it - 1TPDSMM0000134;;;;
3MARTRAAB40AN;13/10/2026;1,0;ped - 204241 | it - 1MEAB590000104;;;;
3MMRDCARR80AN;13/10/2026;1,0;ped - 202028 | it - 1TPRDMM0000186;;;;
3PXEU442IN;13/10/2026;1,0;ped - 203789 | it - 1PROIN0065312;;;;
