Item;Data OC;Decis Compras;texto OC;texto OC1;texto OC2;texto OC3;texto OC4
3ACM50C9YUTRG1;27/10/2026;100,0;;;;;
3CH018BP0064;22/10/2026;200,0;;;;;
3CH018BP0070;22/10/2026;183,15;;;;;
3CH018BP0088;22/10/2026;728,64;;;;;
3CH06BP0060;22/10/2026;151,8;;;;;
3MARCORACBI;13/10/2026;1,0;;;;;
3MARIMPDS35;13/10/2026;1,0;;;;;
3MARIMPDS42AN;13/10/2026;2,0;;;;;
3MARIMPE295;13/10/2026;2,0;;;;;
3MARIMPE295AN;13/10/2026;1,0;;;;;
3MARIMPECBIAN;13/10/2026;1,0;;;;;
3MARMACH370AN;13/10/2026;1,0;;;;;
3MARMACH570AN;13/10/2026;1,0;;;;;
3MARMARDS42AN;13/10/2026;2,0;;;;;
3MARMARQ295AN;13/10/2026;2,0;;;;;
3MARORIOCBI;13/10/2026;1,0;;;;;
3MARORIODS35;13/10/2026;1,0;;;;;
3MARORIOMK10;13/10/2026;1,0;;;;;
3MARORIOMK10AN;13/10/2026;1,0;;;;;
3MARTRAAB40AN;13/10/2026;1,0;;;;;
3MARTRADS35AN;13/10/2026;1,0;;;;;
3MMRDCARR11AN;13/10/2026;1,0;;;;;
3MMRDCARR80AN;13/10/2026;1,0;;;;;
3MMSYIMPE15AN;13/10/2026;1,0;;;;;
3MMSYORIO11;13/10/2026;1,0;;;;;
3MTPARCARR11AN;13/10/2026;1,0;;;;;
3MTPARCORA80AN;13/10/2026;1,0;;;;;
3MTPARGUAT80;13/10/2026;1,0;;;;;
3MTPARIMPE80AN;13/10/2026;1,0;;;;;
3MTPECORIO26AN;13/10/2026;1,0;;;;;
3MTPTICORAR6;13/10/2026;1,0;;;;;
3MTPTIGUAT26AN;13/10/2026;1,0;;;;;
3MTPTIMACH26;13/10/2026;1,0;;;;;
3MTPTITRAVR4AN;13/10/2026;1,0;;;;;
3MTPTTCARR11;13/10/2026;1,0;;;;;
3MTPTTORIO60;13/10/2026;1,0;;;;;
3MTPVOTRAV16AN;13/10/2026;1,0;;;;;
3PEDNATCINZ;13/10/2026;1,0;;;;;
3PEDRE14OREO;13/10/2026;1,0;;;;;
3CAT0006975;07/10/2026;666,0;;;;;
3CAT00ABRAS;02/10/2026;2340,0;;;;;
3CONVGL0583;07/10/2026;260,0;;;;;
3FNDACR7690;13/10/2026;600,0;;;;;
3LACMASTEEL;13/10/2026;20,0;;;;;
3MAS0076402;13/10/2026;360,0;;;;;
3OLEORUBFAVJ;02/10/2026;24,7;;;;;
3OLEORUBNAT;02/10/2026;24,5;;;;;
3OLEORUBNEV;02/10/2026;2,6;;;;;
3TING00T900;13/10/2026;80,0;;;;;
3ARCLPIA165CI;13/10/2026;5,0;;;;;
3ARPVASL310CI;13/10/2026;10,0;;;;;
3PER00RM119;19/10/2026;72,0;;;;;
3PER617DJ3000F;13/10/2026;20,0;;;;;
3PERALUMIKENDO;13/10/2026;16,0;;;;;
3PERDIFBRNOOR;13/10/2026;2,0;;;;;
3PERTHIN01ALU;13/10/2026;30,0;;;;;
3PRGAVSQUABEGE;13/10/2026;170,0;;;;;
3PUXCUPDO;06/11/2026;46,0;;;;;
3RPE150INPEREZ;13/10/2026;12,0;;;;;
3TAPAQN58CZ;02/10/2026;21,0;;;;;
3ARLIXCUBE40FR;02/10/2026;1,0;;;;;
3CIEU1200DCHFO;13/10/2026;2,0;;;;;
3DTLIN700514PR;02/10/2026;1,0;;;;;
3KITPCEZD3P;13/10/2026;1,0;;;;;
3KTFEMATOUWCPR;13/10/2026;2,0;;;;;
3PERUNO6BG215B;13/10/2026;6,0;;;;;
3PUXRADIO16DO;06/11/2026;6,0;;;;;
3ROSQUADTRANPR;06/11/2026;1,0;;;;;
3TEC0A10503;13/10/2026;3,0;;;;;
3TEC0A10540;13/10/2026;17,0;;;;;
3TEC0A10551;13/10/2026;1,0;;;;;
3TEC0A10553;13/10/2026;3,0;;;;;
3TEC0A10555;13/10/2026;1,0;;;;;
3TEC0A10568;13/10/2026;1,0;;;;;
3TEC0A10570;13/10/2026;3,0;;;;;
3TEC0A10574;13/10/2026;4,0;;;;;
3TEC0A10576;13/10/2026;7,0;;;;;
3TEC0A10581;13/10/2026;2,0;;;;;
3TEC0A10588;13/10/2026;1,0;;;;;
3TEC0A10591;13/10/2026;3,0;;;;;
3TEC0A10599;13/10/2026;3,0;;;;;
3TEC0A11159;13/10/2026;5,0;;;;;
3TEC0A22031;14/10/2026;21,0;;;;;
3TEC0A22065;13/10/2026;4,0;;;;;
3TEC0A22163;13/10/2026;3,0;;;;;
3TEC0A26016;15/10/2026;2,0;;;;;
3TEC0A26024;15/10/2026;39,0;;;;;
3TEC0A26025;15/10/2026;5,0;;;;;
3TEC0A26026;15/10/2026;22,0;;;;;
3TEC0B11559;14/10/2026;17,0;;;;;
3TEC0B22186;14/10/2026;3,0;;;;;
3TEC0B22237;13/10/2026;2,0;;;;;
3TEC0B26030;15/10/2026;18,0;;;;;
3TEC0B26084;15/10/2026;2,0;;;;;
3TEC0B26099;15/10/2026;36,0;;;;;
3TEC0C10050;13/10/2026;66,0;;;;;
3TEC0C10413;13/10/2026;5,0;;;;;
3TEC0C22106;14/10/2026;9,0;;;;;
3TEC0C26007;15/10/2026;25,0;;;;;
3TEC0C26036;15/10/2026;5,0;;;;;
3TEC0C26075;15/10/2026;4,0;;;;;
3TEC0C26090;15/10/2026;30,0;;;;;
3TEC0C26093;15/10/2026;5,0;;;;;
3TEC0C26104;15/10/2026;30,0;;;;;
3TEC0C26105;15/10/2026;48,0;;;;;
3TEC0D10376;13/10/2026;22,0;;;;;
3TEC0D10378;13/10/2026;10,0;;;;;
3TEC0D10381;13/10/2026;1,0;;;;;
3TEC0D10382;13/10/2026;14,0;;;;;
3TEC0D10443;13/10/2026;15,0;;;;;
3TEC0D26035;15/10/2026;24,0;;;;;
3TEC0D26044;15/10/2026;18,0;;;;;
3TEC0D26063;15/10/2026;81,0;;;;;
3TEC0D26083;15/10/2026;26,0;;;;;
