Item;Data OC;Decis Compras;texto OC;texto OC1;texto OC2;texto OC3;texto OC4
3TEC0D26098;15/10/2026;19,0;;;;;
3TEC0D26102;15/10/2026;3,0;;;;;
3TEC0D26123;15/10/2026;15,0;;;;;
3TEC0D26153;15/10/2026;12,0;;;;;
3TEC0E26006;15/10/2026;16,0;;;;;
3TEC0E26022;15/10/2026;16,0;;;;;
3TEC0EPCHERRY;13/10/2026;3,0;;;;;
3TEC0F11295;13/10/2026;3,0;;;;;
3TEC0F11309;13/10/2026;3,0;;;;;
3TEC0F11310;13/10/2026;3,0;;;;;
3TEC0F11330;13/10/2026;3,0;;;;;
3TEC0G22068;13/10/2026;8,0;;;;;
3TEC0H26064;15/10/2026;37,0;;;;;
3TEC0P11241;13/10/2026;10,0;;;;;
3TEC0P26041;15/10/2026;13,0;;;;;
3TEC0PHEASANT;13/10/2026;3,0;;;;;
3FIT22PVC0060;22/10/2026;600,0;;;;;
3FIT22PVC0072;22/10/2026;600,0;;;;;
3FIT22PVC0094;22/10/2026;1800,0;;;;;
3FIT29PVC0094;22/10/2026;450,0;;;;;
3FIT35PVCMINT;22/10/2026;600,0;;;;;
3VARSOLDA01;07/10/2026;10,0;;;;;
3BAT0000010;05/10/2026;10000,0;;;;;
3BUC0000006;29/09/2026;11000,0;;;;;
3CONCHAFIBRAV2;22/10/2026;4,0;;;;;
3KITMECRECL00;26/10/2026;3,0;;;;;
3PER0003907;19/10/2026;126,0;;;;;
3PER0PUX2069;13/10/2026;70,0;;;;;
3MAD0000003;05/10/2026;1,0;;;;;
3MADCARV553;07/10/2026;1,0;;;;;
3ESPINCORFT;13/10/2026;53,92;;;;;
3PXEU442IN;13/10/2026;1,0;;;;;
3TRLAN600X400;29/10/2026;15,0;;;;;
3PERAREZ6000F;13/10/2026;10,0;;;;;
3PUX0010741;06/11/2026;2,0;;;;;
3GRP0005007;02/10/2026;388,08;;;;;
3PIN0000016;08/10/2026;10,0;;;;;
3PRF0000020;13/10/2026;3000,0;;;;;
3PRF0000040;15/10/2026;5,0;;;;;
3PRF0000041;13/10/2026;20,0;;;;;
3PRF0000121;13/10/2026;100,0;;;;;
3PRF001/42AL;13/10/2026;1,0;;;;;
3PRFFIX45X50;13/10/2026;30,0;;;;;
3COL000TB50;19/10/2026;175,0;;;;;
3FIT22000FL;22/10/2026;2250,0;;;;;
3TAPFUR0088;22/10/2026;14,0;;;;;
3TAPFUR0094;22/10/2026;14,0;;;;;
3CALBLUMDOBNI;22/10/2026;2000,0;;;;;
3DBR00RET107;19/10/2026;50,0;;;;;
3DBRB110CMRPNI;22/10/2026;250,0;;;;;
3DBRB110CMRTNI;22/10/2026;500,0;;;;;
3DBRTOPRETA;22/10/2026;250,0;;;;;
3PAP0000F03;13/10/2026;3000,0;;;;;
3PEL0CINZES;08/10/2026;250,0;;;;;
3TEC0000001;05/10/2026;635,0;;;;;
3CH018BPCORT;22/10/2026;182,16;;;;;
3CH025BP0095;22/10/2026;15,18;;;;;
3CH06BP0068;22/10/2026;5,06;;;;;
3CH06BP0095;22/10/2026;20,24;;;;;
